m1,m2,th,v0,lHS,lS,mu3,Tc,xi_c,status,error_msg
125.2,20.0,0.0,246.22,1e-05,1.0,0.0,158.8511181736942,0.15094313959209657,success,
125.2,20.0,0.0,246.22,0.0001,0.0003316556508625612,0.0,158.85045089647284,0.15092609847227928,success,
125.2,20.0,0.0,246.22,0.0001,0.0016464552114357311,0.0,158.85045204881223,0.15092284161894495,success,
125.2,20.0,0.0,246.22,0.0001,0.008173582317122174,0.0,158.8504575970012,0.1509385202671575,success,
125.2,20.0,0.0,246.22,0.0001,0.04057653523202455,0.0,158.85048176424883,0.1509970413268654,success,
125.2,20.0,0.0,246.22,0.0001,0.20143618153654658,0.0,158.85056346462127,0.15092317129203306,success,
125.2,20.0,0.0,246.22,0.0001,1.0,0.0,158.85076200237873,0.15092490569452596,success,
125.2,20.0,0.0,246.22,0.001,0.00028763720004891107,0.0,158.84406000126742,0.15094238060594503,success,
125.2,20.0,0.0,246.22,0.001,0.0014691834992440942,0.0,158.84407070794182,0.1509002613749445,success,
125.2,20.0,0.0,246.22,0.001,0.007504245466455948,0.0,158.84412370909286,0.15092788339061866,success,
125.2,20.0,0.0,246.22,0.001,0.03832992954916687,0.0,158.84436115864182,0.15095572645924493,success,
125.2,20.0,0.0,246.22,0.001,0.1957803094010398,0.0,158.84518104749895,0.15092611191058314,success,
125.2,20.0,0.0,246.22,0.001,1.0,0.0,158.84719787556855,0.15099561543657794,success,
125.2,20.0,0.0,246.22,0.01,1.975286136779761e-05,0.0,158.77631634125112,0.15082233579258128,success,
125.2,20.0,0.0,246.22,0.01,0.0001723868018286991,0.0,158.77634076709936,0.1508447509465701,success,
125.2,20.0,0.0,246.22,0.01,0.0015044508687320642,0.0,158.7765517696452,0.15082335560811277,success,
125.2,20.0,0.0,246.22,0.01,0.01312961544862222,0.0,158.77811039181216,0.15085571752761803,success,
125.2,20.0,0.0,246.22,0.01,0.11458453407254497,0.0,158.78610515477698,0.1507304115697119,success,
125.2,20.0,0.0,246.22,0.01,1.0,0.0,158.8113059339904,0.15074286272407325,success,
125.2,20.0,0.0,246.22,0.1,0.014570926420095562,0.0,,,no_transition,
125.2,20.0,0.0,246.22,0.1,0.03394608794986897,0.0,116.89332669688261,0.3483012431548036,success,
125.2,20.0,0.0,246.22,0.1,0.07908466859807815,0.0,140.0041351928209,0.19808346579035824,success,
125.2,20.0,0.0,246.22,0.1,0.18424464157708617,0.0,148.40493378484013,0.1753117848331715,success,
125.2,20.0,0.0,246.22,0.1,0.42923727887624835,0.0,151.7383578054911,0.1684932124246557,success,
125.2,20.0,0.0,246.22,0.1,1.0,0.0,153.02578413683085,0.16566810927010706,success,
125.2,30.0,0.0,246.22,1e-05,0.0017035979602598303,0.0,158.85109197773036,0.15090295330118872,success,
125.2,30.0,0.0,246.22,1e-05,0.006096684051125426,0.0,158.85109224341394,0.1510391000324097,success,
125.2,30.0,0.0,246.22,1e-05,0.0218182677405754,0.0,158.85109307036757,0.15093523703340453,success,
125.2,30.0,0.0,246.22,1e-05,0.07808126568598527,0.0,158.85109578662093,0.15094228834000945,success,
125.2,30.0,0.0,246.22,1e-05,0.27943025191626125,0.0,158.85110313448445,0.1509192474926407,success,
125.2,30.0,0.0,246.22,1e-05,1.0,0.0,158.85111882439784,0.15095163495629618,success,
125.2,30.0,0.0,246.22,0.0001,0.0016932822028663933,0.0,158.85049984856397,0.1509475599134843,success,
125.2,30.0,0.0,246.22,0.0001,0.006067132436066856,0.0,158.85050230008846,0.1509229128031921,success,
125.2,30.0,0.0,246.22,0.0001,0.021738902076961716,0.0,158.85051077879913,0.15095764307995224,success,
125.2,30.0,0.0,246.22,0.0001,0.07789179954312817,0.0,158.85053798594424,0.15076805606981095,success,
125.2,30.0,0.0,246.22,0.0001,0.27909102375950423,0.0,158.8506114261216,0.15094956781534485,success,
125.2,30.0,0.0,246.22,0.0001,1.0,0.0,158.8507685126003,0.150879259640762,success,
125.2,30.0,0.0,246.22,0.001,0.0015918476306265776,0.0,158.84456069251243,0.15093496458742164,success,
125.2,30.0,0.0,246.22,0.001,0.0057745905562602085,0.0,158.84458449697132,0.15093086601236752,success,
125.2,30.0,0.0,246.22,0.001,0.020947919543859904,0.0,158.84466780881297,0.15091557891223611,success,
125.2,30.0,0.0,246.22,0.001,0.07599072677807604,0.0,158.8449378140261,0.15092616275288498,success,
125.2,30.0,0.0,246.22,0.001,0.2756641557730639,0.0,158.84567602992294,0.15091977754754374,success,
125.2,30.0,0.0,246.22,0.001,1.0,0.0,158.8472625070471,0.15088916135073857,success,
125.2,30.0,0.0,246.22,0.01,0.00074980207768381,0.0,158.7831904758532,0.1508531258004591,success,
125.2,30.0,0.0,246.22,0.01,0.0031619668435968486,0.0,158.7833534537141,0.15082289646902747,success,
125.2,30.0,0.0,246.22,0.01,0.013334231282594509,0.0,158.78401951550777,0.1508239221909325,success,
125.2,30.0,0.0,246.22,0.01,0.056231368857576715,0.0,158.7865231848125,0.15082271937438782,success,
